question_id,topic_id
it-passport-2025-q075,tp_14
it-passport-2025-q076,tp_23
it-passport-2025-q077,tp_19
it-passport-2025-q078,tp_28
it-passport-2025-q079,tp_29
it-passport-2025-q080,tp_32
it-passport-2025-q081,tp_29
it-passport-2025-q082,tp_23
it-passport-2025-q083,tp_44
it-passport-2025-q084,tp_19
it-passport-2025-q085,tp_48
it-passport-2025-q086,tp_32
it-passport-2025-q087,tp_20
it-passport-2025-q088,tp_19
it-passport-2025-q089,tp_20
it-passport-2025-q090,tp_19
it-passport-2025-q091,tp_19
it-passport-2025-q092,tp_21
it-passport-2025-q093,tp_19
it-passport-2025-q094,tp_35
it-passport-2025-q095,tp_24
it-passport-2025-q096,tp_46
it-passport-2025-q097,tp_19
it-passport-2025-q098,tp_28
it-passport-2025-q099,tp_29
it-passport-2025-q100,tp_20
